t[s],U_A,U_B
-9.52839757,0.35554060,2.38654800
-9.52706357,0.35706660,2.38959900
-9.52572957,0.35828730,2.39265100
-9.52439557,0.35828730,2.39722900
-9.52306157,0.35981320,2.40028100
-9.52172757,0.36133920,2.40485900
-9.52039357,0.36133920,2.40943600
-9.51905957,0.36133920,2.41248800
-9.51772557,0.36255990,2.41706600
-9.51639157,0.36408580,2.42317000
-9.51505757,0.36561170,2.42774700
-9.51372357,0.36561170,2.43232500
-9.51238957,0.36561170,2.43690300
-9.51105557,0.36683250,2.43995500
-9.50972157,0.36835840,2.44300700
-9.50838757,0.36988430,2.44605900
-9.50705357,0.37110510,2.45063600
-9.50571957,0.37110510,2.45674000
-9.50438557,0.37263100,2.46131800
-9.50305157,0.37415690,2.46742200
-9.50171757,0.37415690,2.47199900
-9.50038357,0.37537770,2.47810300
-9.49904957,0.37690360,2.48268100
-9.49771557,0.37842950,2.48878500
-9.49638157,0.37965030,2.49336200
-9.49504757,0.38117620,2.49794000
-9.49371357,0.38270210,2.50404400
-9.49237957,0.38392280,2.50862100
-9.49104557,0.38392280,2.51472500
-9.48971157,0.38544880,2.51930300
-9.48837757,0.38697470,2.52388000
-9.48704357,0.38819550,2.52845900
-9.48570957,0.38972140,2.53303600
-9.48437557,0.39124730,2.53914000
-9.48304157,0.39246800,2.54219200
-9.48170757,0.39399390,2.54677000
-9.48037357,0.39551990,2.54982100
-9.47903957,0.39674060,2.55439900
-9.47770557,0.39826660,2.56050300
-9.47637157,0.39948730,2.56202900
-9.47503757,0.40101320,2.56660700
-9.47370357,0.40253910,2.57271000
-9.47236957,0.40375990,2.57728800
-9.47103557,0.40528580,2.58186600
-9.46970157,0.40681170,2.58491800
-9.46836757,0.40803250,2.58949500
-9.46703357,0.40955840,2.59407300
-9.46569957,0.41108430,2.59865100
-9.46436557,0.41230510,2.60475500
-9.46303157,0.41230510,2.60933300
-9.46169757,0.41230510,2.61238500
-9.46036357,0.41383100,2.61696200
-9.45902957,0.41535690,2.62001400
-9.45769557,0.41657770,2.62306600
-9.45636157,0.41810360,2.62764400
-9.45502757,0.41962950,2.63069500
-9.45369357,0.42085020,2.63374800
-9.45235957,0.42237620,2.63679900
-9.45102557,0.42390210,2.64290300
-9.44969157,0.42512280,2.64595500
-9.44835757,0.42664880,2.65053200
-9.44702357,0.42817470,2.65358400
-9.44568957,0.42939540,2.65663600
-9.44435557,0.42939540,2.65968800
-9.44302157,0.43092130,2.66426600
-9.44168757,0.43092130,2.66884400
-9.44035357,0.43092130,2.67342100
-9.43901957,0.43244730,2.67799900
-9.43768557,0.43244730,2.68105100
-9.43635157,0.43244730,2.68562900
-9.43501757,0.43366800,2.68868100
-9.43368357,0.43519400,2.69173300
-9.43234957,0.43519400,2.69631000
-9.43101557,0.43519400,2.69936200
-9.42968157,0.43519400,2.70241400
-9.42834757,0.43671990,2.70546600
-9.42701357,0.43794060,2.71004400
-9.42567957,0.43794060,2.71309600
-9.42434557,0.43946650,2.71614700
-9.42301157,0.43946650,2.72072500
-9.42167757,0.43946650,2.72377700
-9.42034357,0.44099250,2.72682900
-9.41900957,0.44099250,2.73140700
-9.41767557,0.44099250,2.73445800
-9.41634157,0.44099250,2.73751000
-9.41500757,0.44099250,2.74056200
-9.41367357,0.44099250,2.74514000
-9.41233957,0.44099250,2.74819200
-9.41100557,0.44099250,2.75124400
-9.40967157,0.44099250,2.75582100
-9.40833757,0.44099250,2.75887300
-9.40700357,0.44221320,2.76192500
-9.40566957,0.44373910,2.76650300
-9.40433557,0.44373910,2.77108100
-9.40300157,0.44373910,2.77413200
-9.40166757,0.44373910,2.77871000
-9.40033357,0.44373910,2.78176200
-9.39899957,0.44373910,2.78634000
-9.39766557,0.44373910,2.79091800
-9.39633157,0.44373910,2.79549600
-9.39499757,0.44373910,2.80159900
-9.39366357,0.44373910,2.80465100
-9.39232957,0.44373910,2.80770300
-9.39099557,0.44495990,2.81228100
-9.38966157,0.44495990,2.81533200
-9.38832757,0.44495990,2.81838400
-9.38699357,0.44495990,2.82143600
-9.38565957,0.44648580,2.82754000
-9.38432557,0.44648580,2.83059200
-9.38299157,0.44648580,2.83669500
-9.38165757,0.44648580,2.84127300
-9.38032357,0.44648580,2.84432500
-9.37898957,0.44801170,2.84890300
-9.37765557,0.44923250,2.85195500
-9.37632157,0.44923250,2.85805800
-9.37498757,0.44923250,2.85958400
-9.37365357,0.45075840,2.86263600
-9.37231957,0.45228430,2.86568800
-9.37098557,0.45350500,2.87026600
-9.36965157,0.45503100,2.87179200
-9.36831757,0.45655690,2.87637000
-9.36698357,0.45655690,2.87942100
